,index,longitude_x,latitude_x,Visibility (km),Year,Month,Day,latitude_y,longitude_y,Station Name,Mean Temp (C),data,Count,longitude,latitude,MonthDayYear
34,34,-114.01000000000006,51.11999999999998,25.620833333333334,2018,2,4,51.12,-114.01,CALGARY INTL A,-16.4,Weather,26,-2965.882854633045,1327.0377475949738,02/04/2018
35,35,-114.01000000000006,51.11999999999998,38.349999999999994,2018,2,5,51.12,-114.01,CALGARY INTL A,-16.2,Weather,42,-4791.109536256014,2143.0143960338173,02/05/2018
36,36,-114.01000000000006,51.11999999999998,36.53333333333333,2018,2,6,51.12,-114.01,CALGARY INTL A,-15.6,Weather,32,-3649.267112296204,1633.3706181120776,02/06/2018
37,37,-114.01000000000006,51.11999999999998,13.587500000000004,2018,2,7,51.12,-114.01,CALGARY INTL A,-12.0,Weather,28,-3193.660550337362,1428.5153766151784,02/07/2018
38,38,-114.01000000000006,51.11999999999998,4.166666666666667,2018,2,8,51.12,-114.01,CALGARY INTL A,-21.3,Weather,44,-5018.776925191104,2246.104540473224,02/08/2018
39,39,-114.01000000000006,51.11999999999998,36.28333333333333,2018,2,9,51.12,-114.01,CALGARY INTL A,-21.0,Weather,46,-5246.943128288422,2346.980108878649,02/09/2018
40,40,-114.01000000000006,51.11999999999998,39.158333333333324,2018,2,10,51.12,-114.01,CALGARY INTL A,-12.6,Weather,16,-1825.469427611343,816.5493320174629,02/10/2018
41,41,-114.01000000000006,51.11999999999998,13.491666666666667,2018,2,11,51.12,-114.01,CALGARY INTL A,-14.9,Weather,29,-3307.2823375133103,1480.7382542757555,02/11/2018
42,42,-114.01000000000006,51.11999999999998,42.90833333333333,2018,2,12,51.12,-114.01,CALGARY INTL A,-13.2,Weather,57,-6501.244197755608,2908.466419358267,02/12/2018
43,43,-114.01000000000006,51.11999999999998,42.57083333333333,2018,2,13,51.12,-114.01,CALGARY INTL A,5.8,Weather,11,-1254.7203779794809,561.3777728813426,02/13/2018
44,44,-114.01000000000006,51.11999999999998,21.479166666666675,2018,2,14,51.12,-114.01,CALGARY INTL A,-4.9,Weather,6,-684.156611060643,306.1979679772941,02/14/2018
45,45,-114.01000000000006,51.11999999999998,40.699999999999996,2018,2,15,51.12,-114.01,CALGARY INTL A,-10.5,Weather,15,-1710.978707909475,765.550580955082,02/15/2018
46,46,-114.01000000000006,51.11999999999998,37.87499999999999,2018,2,16,51.12,-114.01,CALGARY INTL A,-5.1,Weather,17,-1938.7610338511076,867.6724325088558,02/16/2018
47,47,-114.01000000000006,51.11999999999998,6.591666666666668,2018,2,17,51.12,-114.01,CALGARY INTL A,-11.6,Weather,40,-4561.702379764899,2041.7754813055417,02/17/2018
48,48,-114.01000000000006,51.11999999999998,21.616666666666664,2018,2,18,51.12,-114.01,CALGARY INTL A,-17.2,Weather,17,-1938.975706379819,867.8194392041072,02/18/2018
49,49,-114.01000000000006,51.11999999999998,42.849999999999994,2018,2,19,51.12,-114.01,CALGARY INTL A,-17.4,Weather,9,-1025.99616119289,459.2516371735878,02/19/2018
50,50,-114.01000000000006,51.11999999999998,22.36666666666667,2018,2,20,51.12,-114.01,CALGARY INTL A,-14.9,Weather,18,-2052.8143482830314,918.7641506396208,02/20/2018
51,51,-114.01000000000006,51.11999999999998,43.91666666666666,2018,2,21,51.12,-114.01,CALGARY INTL A,-15.1,Weather,23,-2623.4756884162575,1173.6587195244422,02/21/2018
52,52,-114.01000000000006,51.11999999999998,26.120833333333337,2018,2,22,51.12,-114.01,CALGARY INTL A,-11.5,Weather,18,-2052.600467014722,918.4217447508464,02/22/2018
53,53,-114.01000000000006,51.11999999999998,42.908333333333324,2018,2,23,51.12,-114.01,CALGARY INTL A,-10.1,Weather,36,-4105.951636271749,1837.758662342642,02/23/2018
54,54,-114.01000000000006,51.11999999999998,42.908333333333324,2018,2,24,51.12,-114.01,CALGARY INTL A,-3.0,Weather,13,-1482.27502034028,663.5924594418823,02/24/2018
55,55,-114.01000000000006,51.11999999999998,42.24166666666666,2018,2,25,51.12,-114.01,CALGARY INTL A,-4.3,Weather,18,-2052.6362814057557,918.7882874855565,02/25/2018
56,56,-114.01000000000006,51.11999999999998,44.587499999999984,2018,2,26,51.12,-114.01,CALGARY INTL A,-7.2,Weather,21,-2395.3411883057906,1071.5724602718415,02/26/2018
57,57,-114.01000000000006,51.11999999999998,42.574999999999996,2018,2,27,51.12,-114.01,CALGARY INTL A,-3.8,Weather,13,-1482.708773288776,663.4448310347798,02/27/2018
58,58,-114.01000000000006,51.11999999999998,42.7125,2018,2,28,51.12,-114.01,CALGARY INTL A,-5.1,Weather,20,-2281.2059839816047,1021.1861821126021,02/28/2018
59,59,-114.01000000000006,51.11999999999998,21.595833333333335,2018,3,1,51.12,-114.01,CALGARY INTL A,-9.0,Weather,16,-1824.955565118543,816.8184087498429,03/01/2018
60,60,-114.01000000000006,51.11999999999998,2.35,2018,3,2,51.12,-114.01,CALGARY INTL A,-9.0,Weather,36,-4105.697447734887,1837.741349873697,03/02/2018
61,61,-114.01000000000006,51.11999999999998,10.904166666666667,2018,3,3,51.12,-114.01,CALGARY INTL A,-11.0,Weather,15,-1710.239663970101,765.7882125405268,03/03/2018
62,62,-114.01000000000006,51.11999999999998,27.412500000000005,2018,3,4,51.12,-114.01,CALGARY INTL A,-14.7,Weather,15,-1710.7442390593624,765.5998112847302,03/04/2018
63,63,-114.01000000000006,51.11999999999998,40.912499999999994,2018,3,5,51.12,-114.01,CALGARY INTL A,-16.0,Weather,20,-2280.9326166669666,1020.3440828829553,03/05/2018
64,64,-114.01000000000006,51.11999999999998,33.18333333333333,2018,3,6,51.12,-114.01,CALGARY INTL A,-13.6,Weather,13,-1482.921619531291,663.6480780463751,03/06/2018
65,65,-114.01000000000006,51.11999999999998,39.88750000000001,2018,3,7,51.12,-114.01,CALGARY INTL A,-12.0,Weather,23,-2623.6344560298394,1173.2965344404174,03/07/2018
66,66,-114.01000000000006,51.11999999999998,15.345833333333333,2018,3,8,51.12,-114.01,CALGARY INTL A,-12.6,Weather,18,-2053.305942637874,918.6445316115568,03/08/2018
67,67,-114.01000000000006,51.11999999999998,32.32500000000001,2018,3,9,51.12,-114.01,CALGARY INTL A,-1.3,Weather,19,-2166.885841457291,969.6592939903041,03/09/2018
68,68,-114.01000000000006,51.11999999999998,45.929166666666646,2018,3,10,51.12,-114.01,CALGARY INTL A,-5.1,Weather,9,-1026.442395333042,459.32780341967305,03/10/2018
69,69,-114.01000000000006,51.11999999999998,44.24999999999999,2018,3,11,51.12,-114.01,CALGARY INTL A,-4.0,Weather,16,-1824.60353698377,816.6957348750043,03/11/2018
70,70,-114.01000000000006,51.11999999999998,45.929166666666646,2018,3,12,51.12,-114.01,CALGARY INTL A,-2.6,Weather,29,-3307.1548551079914,1479.9776444771667,03/12/2018
71,71,-114.01000000000006,51.11999999999998,45.929166666666646,2018,3,13,51.12,-114.01,CALGARY INTL A,-0.9,Weather,29,-3308.7005541345925,1480.2386252983101,03/13/2018
72,72,-114.01000000000006,51.11999999999998,27.22916666666667,2018,3,14,51.12,-114.01,CALGARY INTL A,-2.9,Weather,20,-2280.7739659470894,1020.7961951880392,03/14/2018
73,73,-114.01000000000006,51.11999999999998,5.108333333333334,2018,3,15,51.12,-114.01,CALGARY INTL A,-4.2,Weather,51,-5815.858608854892,2602.8110492640258,03/15/2018
74,74,-114.01000000000006,51.11999999999998,9.650000000000002,2018,3,16,51.12,-114.01,CALGARY INTL A,-4.1,Weather,26,-2965.194440861468,1326.793623538756,03/16/2018
75,75,-114.01000000000006,51.11999999999998,6.166666666666668,2018,3,17,51.12,-114.01,CALGARY INTL A,-1.1,Weather,9,-1026.343828994811,459.2329353094843,03/17/2018
76,76,-114.01000000000006,51.11999999999998,5.0874999999999995,2018,3,18,51.12,-114.01,CALGARY INTL A,-1.9,Weather,13,-1482.7420939049039,664.2727261133643,03/18/2018
77,77,-114.01000000000006,51.11999999999998,43.72499999999999,2018,3,19,51.12,-114.01,CALGARY INTL A,-1.6,Weather,16,-1824.5764889803058,816.9352340788614,03/19/2018
78,78,-114.01000000000006,51.11999999999998,45.26249999999998,2018,3,20,51.12,-114.01,CALGARY INTL A,1.0,Weather,18,-2052.527046844709,918.767960267988,03/20/2018
79,79,-114.01000000000006,51.11999999999998,31.8625,2018,3,21,51.12,-114.01,CALGARY INTL A,0.4,Weather,21,-2394.815064462095,1071.6577230435337,03/21/2018
80,80,-114.01000000000006,51.11999999999998,4.408333333333332,2018,3,22,51.12,-114.01,CALGARY INTL A,-4.0,Weather,16,-1824.9744912436402,816.6751665984222,03/22/2018
81,81,-114.01000000000006,51.11999999999998,37.3125,2018,3,23,51.12,-114.01,CALGARY INTL A,-0.7,Weather,24,-2737.620546858371,1225.2545885886898,03/23/2018
82,82,-114.01000000000006,51.11999999999998,33.175000000000004,2018,3,24,51.12,-114.01,CALGARY INTL A,-2.0,Weather,11,-1254.2308072858361,562.0160878081679,03/24/2018
83,83,-114.01000000000006,51.11999999999998,47.61249999999998,2018,3,25,51.12,-114.01,CALGARY INTL A,-2.1,Weather,11,-1254.643980091269,561.4002929696118,03/25/2018
84,84,-114.01000000000006,51.11999999999998,44.92499999999998,2018,3,26,51.12,-114.01,CALGARY INTL A,1.0,Weather,10,-1140.111376571482,510.07316926928627,03/26/2018
85,85,-114.01000000000006,51.11999999999998,38.35833333333333,2018,3,27,51.12,-114.01,CALGARY INTL A,4.6,Weather,10,-1140.321584625478,510.6565802378574,03/27/2018
86,86,-114.01000000000006,51.11999999999998,16.741666666666667,2018,3,28,51.12,-114.01,CALGARY INTL A,0.0,Weather,17,-1938.9800575103081,867.8081106474094,03/28/2018
87,87,-114.01000000000006,51.11999999999998,15.095833333333331,2018,3,29,51.12,-114.01,CALGARY INTL A,-5.0,Weather,32,-3650.16029115303,1634.0273068046292,03/29/2018
88,88,-114.01000000000006,51.11999999999998,4.383333333333334,2018,3,30,51.12,-114.01,CALGARY INTL A,-10.3,Weather,9,-1026.109668023051,459.2695514020281,03/30/2018
89,89,-114.01000000000006,51.11999999999998,33.96666666666666,2018,3,31,51.12,-114.01,CALGARY INTL A,-14.7,Weather,10,-1140.540321862446,510.6714031872642,03/31/2018
90,90,-114.01000000000006,51.11999999999998,27.69166666666666,2018,4,1,51.12,-114.01,CALGARY INTL A,-10.9,Weather,7,-798.102681539995,357.53192561720425,04/01/2018
91,91,-114.01000000000006,51.11999999999998,30.64166666666667,2018,4,2,51.12,-114.01,CALGARY INTL A,-8.3,Weather,10,-1140.546336448729,510.730488470069,04/02/2018
92,92,-114.01000000000006,51.11999999999998,18.51666666666667,2018,4,3,51.12,-114.01,CALGARY INTL A,-9.5,Weather,17,-1938.5001421402262,867.7186324284376,04/03/2018
93,93,-114.01000000000006,51.11999999999998,11.866666666666667,2018,4,4,51.12,-114.01,CALGARY INTL A,-5.5,Weather,10,-1140.792782719667,510.4886296433677,04/04/2018
94,94,-114.01000000000006,51.11999999999998,24.712500000000002,2018,4,5,51.12,-114.01,CALGARY INTL A,-9.6,Weather,12,-1368.8087722505509,612.4276808161048,04/05/2018
95,95,-114.01000000000006,51.11999999999998,8.683333333333335,2018,4,6,51.12,-114.01,CALGARY INTL A,-12.7,Weather,22,-2508.9073276803874,1122.7512261942336,04/06/2018
96,96,-114.01000000000006,51.11999999999998,5.391666666666666,2018,4,7,51.12,-114.01,CALGARY INTL A,-11.5,Weather,17,-1938.909335516386,867.781286594319,04/07/2018
97,97,-114.01000000000006,51.11999999999998,13.41666666666667,2018,4,8,51.12,-114.01,CALGARY INTL A,-6.9,Weather,26,-2965.604069295227,1327.514331567632,04/08/2018
98,98,-114.01000000000006,51.11999999999998,18.245833333333334,2018,4,9,51.12,-114.01,CALGARY INTL A,0.6,Weather,14,-1596.7222823829431,713.9905854278016,04/09/2018
99,99,-114.01000000000006,51.11999999999998,28.35000000000001,2018,4,10,51.12,-114.01,CALGARY INTL A,2.9,Weather,18,-2052.589881654373,918.3744481372835,04/10/2018
100,100,-114.01000000000006,51.11999999999998,21.366666666666664,2018,4,11,51.12,-114.01,CALGARY INTL A,1.9,Weather,14,-1596.802095075815,714.0880761984877,04/11/2018
101,101,-114.01000000000006,51.11999999999998,1.7583333333333335,2018,4,12,51.12,-114.01,CALGARY INTL A,-2.8,Weather,33,-3763.301013565482,1684.4707997743149,04/12/2018
102,102,-114.01000000000006,51.11999999999998,20.85833333333334,2018,4,13,51.12,-114.01,CALGARY INTL A,2.0,Weather,33,-3763.7590977550058,1684.2475589137766,04/13/2018
103,103,-114.01000000000006,51.11999999999998,45.25833333333332,2018,4,14,51.12,-114.01,CALGARY INTL A,3.9,Weather,15,-1710.7237220457837,766.3520921869267,04/14/2018
104,104,-114.01000000000006,51.11999999999998,43.58333333333332,2018,4,15,51.12,-114.01,CALGARY INTL A,3.4,Weather,10,-1140.433666876158,510.3119690290449,04/15/2018
105,105,-114.01000000000006,51.11999999999998,12.679166666666667,2018,4,16,51.12,-114.01,CALGARY INTL A,0.0,Weather,14,-1596.7321456896148,714.5061166564533,04/16/2018
106,106,-114.01000000000006,51.11999999999998,11.662500000000001,2018,4,17,51.12,-114.01,CALGARY INTL A,0.2,Weather,11,-1254.6632495707167,561.5555094099836,04/17/2018
107,107,-114.01000000000006,51.11999999999998,44.59166666666666,2018,4,18,51.12,-114.01,CALGARY INTL A,2.5,Weather,15,-1710.714311503546,765.8162851168858,04/18/2018
108,108,-114.01000000000006,51.11999999999998,47.61249999999998,2018,4,19,51.12,-114.01,CALGARY INTL A,3.0,Weather,7,-798.5426482907541,357.3238216920647,04/19/2018
109,109,-114.01000000000006,51.11999999999998,45.93333333333331,2018,4,20,51.12,-114.01,CALGARY INTL A,6.2,Weather,17,-1938.9283655719353,867.2290872885162,04/20/2018
110,110,-114.01000000000006,51.11999999999998,44.59166666666665,2018,4,21,51.12,-114.01,CALGARY INTL A,8.3,Weather,5,-570.216957998479,255.26737248452213,04/21/2018
111,111,-114.01000000000006,51.11999999999998,46.60416666666665,2018,4,22,51.12,-114.01,CALGARY INTL A,6.5,Weather,10,-1140.044056278746,509.88740338383656,04/22/2018
112,112,-114.01000000000006,51.11999999999998,47.61249999999998,2018,4,23,51.12,-114.01,CALGARY INTL A,6.3,Weather,13,-1482.82685115516,663.4903541035258,04/23/2018
113,113,-114.01000000000006,51.11999999999998,47.27499999999998,2018,4,24,51.12,-114.01,CALGARY INTL A,9.8,Weather,18,-2052.42683181747,918.4495012395756,04/24/2018
114,114,-114.01000000000006,51.11999999999998,32.837500000000006,2018,4,25,51.12,-114.01,CALGARY INTL A,9.8,Weather,19,-2166.735591728023,969.6796349568002,04/25/2018
115,115,-114.01000000000006,51.11999999999998,43.24583333333333,2018,4,26,51.12,-114.01,CALGARY INTL A,11.7,Weather,13,-1482.689965173437,663.279243311781,04/26/2018
116,116,-114.01000000000006,51.11999999999998,41.90416666666667,2018,4,27,51.12,-114.01,CALGARY INTL A,12.9,Weather,11,-1254.088189347891,561.4724820100255,04/27/2018
117,117,-114.01000000000006,51.11999999999998,35.525000000000006,2018,4,28,51.12,-114.01,CALGARY INTL A,14.9,Weather,15,-1711.2780890992588,765.4016646299569,04/28/2018
118,118,-114.01000000000006,51.11999999999998,16.166666666666668,2018,4,29,51.12,-114.01,CALGARY INTL A,10.3,Weather,9,-1026.632874282053,459.49653137587757,04/29/2018
119,119,-114.01000000000006,51.11999999999998,24.908333333333335,2018,4,30,51.12,-114.01,CALGARY INTL A,8.2,Weather,17,-1939.3146987821542,867.4386937495224,04/30/2018
120,120,-114.01000000000006,51.11999999999998,28.629166666666674,2018,5,1,51.12,-114.01,CALGARY INTL A,9.4,Weather,13,-1482.5405537869192,663.4078022996736,05/01/2018
121,121,-114.01000000000006,51.11999999999998,48.28333333333331,2018,5,2,51.12,-114.01,CALGARY INTL A,9.9,Weather,12,-1368.5782921781629,612.1936131055434,05/02/2018
122,122,-114.01000000000006,51.11999999999998,46.94166666666664,2018,5,3,51.12,-114.01,CALGARY INTL A,13.1,Weather,10,-1140.354147744092,510.32808106019763,05/03/2018
123,123,-114.01000000000006,51.11999999999998,48.95416666666665,2018,5,4,51.12,-114.01,CALGARY INTL A,14.5,Weather,11,-1254.661700682409,561.2770478467962,05/04/2018
124,124,-114.01000000000006,51.11999999999998,51.30416666666665,2018,5,5,51.12,-114.01,CALGARY INTL A,13.6,Weather,9,-1026.665134338418,459.65108042909753,05/05/2018
125,125,-114.01000000000006,51.11999999999998,52.486956521739124,2018,5,6,51.12,-114.01,CALGARY INTL A,,Weather,7,-798.178706794072,357.1636919124295,05/06/2018
126,126,-114.01000000000006,51.11999999999998,38.22083333333334,2018,5,7,51.12,-114.01,CALGARY INTL A,16.7,Weather,16,-1824.9401484882958,816.7570111382366,05/07/2018
127,127,-114.01000000000006,51.11999999999998,46.274999999999984,2018,5,8,51.12,-114.01,CALGARY INTL A,17.7,Weather,11,-1254.4735540222152,561.1882433833224,05/08/2018
128,128,-114.01000000000006,51.11999999999998,25.075000000000006,2018,5,9,51.12,-114.01,CALGARY INTL A,9.4,Weather,15,-1710.7156878133549,765.6856892361758,05/09/2018
129,129,-114.01000000000006,51.11999999999998,12.204166666666666,2018,5,10,51.12,-114.01,CALGARY INTL A,6.3,Weather,20,-2281.079445008091,1020.1411719539074,05/10/2018
130,130,-114.01000000000006,51.11999999999998,26.120833333333337,2018,5,11,51.12,-114.01,CALGARY INTL A,9.9,Weather,22,-2509.3867283306517,1122.9828869136807,05/11/2018
131,131,-114.01000000000006,51.11999999999998,52.98333333333333,2018,5,12,51.12,-114.01,CALGARY INTL A,12.8,Weather,12,-1368.611421559633,612.3882226112937,05/12/2018
132,132,-114.01000000000006,51.11999999999998,48.95833333333332,2018,5,13,51.12,-114.01,CALGARY INTL A,15.4,Weather,10,-1140.574088760477,510.57453369782445,05/13/2018
133,133,-114.01000000000006,51.11999999999998,48.28749999999999,2018,5,14,51.12,-114.01,CALGARY INTL A,18.4,Weather,22,-2508.262881670228,1122.3235875268654,05/14/2018
134,134,-114.01000000000006,51.11999999999998,47.616666666666646,2018,5,15,51.12,-114.01,CALGARY INTL A,19.9,Weather,16,-1824.8972032194288,817.0525458957745,05/15/2018
135,135,-114.01000000000006,51.11999999999998,18.04583333333334,2018,5,16,51.12,-114.01,CALGARY INTL A,19.0,Weather,26,-2965.5696692770916,1326.9268776781767,05/16/2018
136,136,-114.01000000000006,51.11999999999998,10.887500000000001,2018,5,17,51.12,-114.01,CALGARY INTL A,9.3,Weather,25,-2851.591247130297,1275.3025278791001,05/17/2018
137,137,-114.01000000000006,51.11999999999998,25.754166666666666,2018,5,18,51.12,-114.01,CALGARY INTL A,10.1,Weather,12,-1368.8894517203598,612.3290155784784,05/18/2018
138,138,-114.01000000000006,51.11999999999998,48.95833333333332,2018,5,19,51.12,-114.01,CALGARY INTL A,9.9,Weather,7,-798.396403441045,357.167082192467,05/19/2018
139,139,-114.01000000000006,51.11999999999998,41.24166666666665,2018,5,20,51.12,-114.01,CALGARY INTL A,14.3,Weather,4,-456.16556219685197,204.0581275223222,05/20/2018
140,140,-114.01000000000006,51.11999999999998,46.60833333333331,2018,5,21,51.12,-114.01,CALGARY INTL A,16.3,Weather,3,-342.173402787381,153.19236028313148,05/21/2018
141,141,-114.01000000000006,51.11999999999998,43.587499999999984,2018,5,22,51.12,-114.01,CALGARY INTL A,18.2,Weather,18,-2052.457275223596,918.3897895270867,05/22/2018
142,142,-114.01000000000006,51.11999999999998,37.88333333333333,2018,5,23,51.12,-114.01,CALGARY INTL A,18.5,Weather,13,-1482.7893450511328,663.6015002699164,05/23/2018
143,143,-114.01000000000006,51.11999999999998,37.545833333333334,2018,5,24,51.12,-114.01,CALGARY INTL A,19.8,Weather,9,-1026.481054393931,459.4423209860764,05/24/2018
144,144,-114.01000000000006,51.11999999999998,45.60416666666665,2018,5,25,51.12,-114.01,CALGARY INTL A,18.3,Weather,13,-1483.0062373087999,663.4931799888423,05/25/2018
145,145,-114.01000000000006,51.11999999999998,43.929166666666646,2018,5,26,51.12,-114.01,CALGARY INTL A,18.1,Weather,9,-1026.480523873466,459.24862986846824,05/26/2018
146,146,-114.01000000000006,51.11999999999998,37.216666666666676,2018,5,27,51.12,-114.01,CALGARY INTL A,16.9,Weather,10,-1140.427232434833,510.3837777208479,05/27/2018
147,147,-114.01000000000006,51.11999999999998,46.61249999999998,2018,5,28,51.12,-114.01,CALGARY INTL A,20.0,Weather,15,-1710.6022330654223,765.4498869921413,05/28/2018
148,148,-114.01000000000006,51.11999999999998,23.108333333333345,2018,5,29,51.12,-114.01,CALGARY INTL A,13.1,Weather,9,-1026.583676364688,459.07465237720953,05/29/2018
149,149,-114.01000000000006,51.11999999999998,22.22173913043479,2018,5,30,51.12,-114.01,CALGARY INTL A,,Weather,12,-1368.4446302990732,612.7964330887097,05/30/2018
150,150,-114.01000000000006,51.11999999999998,10.22083333333333,2018,5,31,51.12,-114.01,CALGARY INTL A,6.9,Weather,15,-1710.607542116964,765.7697059587147,05/31/2018
151,151,-114.01000000000006,51.11999999999998,25.858333333333334,2018,6,1,51.12,-114.01,CALGARY INTL A,11.0,Weather,17,-1938.333309862353,867.8366252725793,06/01/2018
152,152,-114.01000000000006,51.11999999999998,52.65,2018,6,2,51.12,-114.01,CALGARY INTL A,12.1,Weather,12,-1368.6735641862133,612.2500189138066,06/02/2018
